Absolute Time Status	N/A			
          2.372651881e-01	          2.667273673e-03			
          2.382417506e-01	          1.624808221e-03			
          2.392183131e-01	          8.195935276e-04			
          2.401948756e-01	          0.000000000e+00			
          2.411714381e-01	          9.490030320e-04			
          2.421480006e-01	         -3.379025947e-04			
          2.431245631e-01	         -6.398581049e-04			
          2.441011256e-01	          7.548887754e-04			
          2.450776881e-01	          5.248274343e-04			
          2.460542506e-01	          1.445072799e-03			
          2.470308131e-01	          1.603239971e-03			
          2.480073756e-01	          2.235908659e-03			
          2.489839381e-01	          3.652223790e-03			
          2.499605006e-01	          3.285563527e-03			
          2.509370631e-01	          3.062691603e-03			
          2.519136256e-01	          2.990797434e-03			
          2.528901881e-01	          3.235237609e-03			
          2.538667506e-01	          2.149635656e-03			
          2.548433131e-01	          1.969900233e-03			
          2.558198756e-01	          3.192101108e-03			
          2.567964381e-01	          2.638516006e-03			
          2.577730006e-01	          2.336560495e-03			
          2.587495631e-01	          2.782304344e-03			
          2.597261256e-01	          2.609758338e-03			
          2.607026881e-01	          2.904524431e-03			
          2.616792506e-01	          2.128067405e-03			
          2.626558131e-01	          3.379025947e-04			
          2.636323756e-01	         -1.624808221e-03			
          2.646089381e-01	         -1.739838892e-03			
          2.655855006e-01	         -1.581671720e-04			
          2.665620631e-01	         -2.516295918e-04			
          2.675386256e-01	          1.581671720e-03			
          2.685151881e-01	          1.588861137e-03			
          2.694917506e-01	          6.901840232e-04			
          2.704683131e-01	          1.150306705e-04			
          2.714448756e-01	         -1.675134140e-03			
          2.724214381e-01	          4.169861807e-04			
          2.733980006e-01	         -2.875766764e-05			
          2.743745631e-01	          1.294095044e-03			
          2.753511256e-01	          1.754217726e-03			
          2.763276881e-01	          1.286905627e-03			
          2.773042506e-01	          2.235908659e-03			
          2.782808131e-01	          3.530003702e-03			
          2.792573756e-01	          3.946989883e-03			
          2.802339381e-01	          2.703220758e-03			
          2.812105006e-01	          3.903853381e-03			
          2.821870631e-01	          1.481019883e-03			
          2.831636256e-01	         -1.222200874e-04			
          2.841401881e-01	         -1.488209300e-03			
          2.851167506e-01	         -1.488209300e-03			
          2.860933131e-01	         -5.463956851e-04			
          2.870698756e-01	          7.117522740e-04			
          2.880464381e-01	         -6.182898542e-04			
          2.890230006e-01	         -2.135256822e-03			
          2.899995631e-01	         -1.294095044e-03			
          2.909761256e-01	         -1.028086618e-03			
          2.919526881e-01	          5.895321865e-04			
          2.929292506e-01	          1.200632624e-03			
          2.939058131e-01	          2.494727667e-03			
          2.948823756e-01	          1.574482303e-03			
          2.958589381e-01	         -1.207822041e-03			
          2.968355006e-01	         -7.189416909e-06			
          2.978120631e-01	         -6.758051894e-04			
          2.987886256e-01	          7.189416909e-05			
          2.997651881e-01	          8.771088629e-04			
          3.007417506e-01	          1.639187055e-03			
          3.017183131e-01	          2.164014490e-03			
          3.026948756e-01	          2.430022915e-03			
          3.036714381e-01	          2.516295918e-03			
          3.046480006e-01	          2.947660933e-04			
          3.056245631e-01	         -8.986771136e-04			
          3.066011256e-01	         -3.738496793e-04			
          3.075776881e-01	         -1.200632624e-03			
          3.085542506e-01	         -1.437883382e-05			
          3.095308131e-01	          2.077741487e-03			
          3.105073756e-01	          3.788822711e-03			
          3.114839381e-01	          4.550900903e-03			
          3.124605006e-01	          3.925421632e-03			
          3.134370631e-01	          3.364647113e-03			
          3.144136256e-01	          3.630655539e-03			
          3.153901881e-01	          2.156825073e-04			
          3.163667506e-01	          4.313650145e-05			
          3.173433131e-01	          2.372507580e-04			
          3.183198756e-01	         -1.078412536e-03			
          3.192964381e-01	         -1.365989213e-03			
          3.202730006e-01	         -9.274347812e-04			
          3.212495631e-01	         -7.333205247e-04			
          3.222261256e-01	         -6.829946063e-04			
          3.232026881e-01	         -3.091449271e-04			
          3.241792506e-01	         -1.099980787e-03			
          3.251558131e-01	         -8.699194460e-04			
          3.261323756e-01	         -3.709739125e-03			
          3.271089381e-01	         -2.890145597e-03			
          3.280855006e-01	         -2.279045160e-03			
          3.290620631e-01	         -2.070552070e-03			
          3.300386256e-01	         -2.171203906e-03			
          3.310151881e-01	         -1.588861137e-03			
          3.319917506e-01	          7.189416909e-06			
          3.329683131e-01	          2.372507580e-04			
          3.339448756e-01	          1.631997638e-03			
          3.349214381e-01	          1.394746880e-03			
          3.358980006e-01	          1.775785976e-03			
          3.368745631e-01	          3.954179300e-04			
          3.378511256e-01	         -3.292752944e-03			
          3.388276881e-01	         -1.502588134e-03			
          3.398042506e-01	         -2.415644081e-03			
          3.407808131e-01	          3.594708454e-04			
          3.417573756e-01	         -5.535851020e-04			
          3.427339381e-01	         -1.962710816e-03			
          3.437105006e-01	         -1.653565889e-03			
          3.446870631e-01	          6.470475218e-05			
          3.456636256e-01	         -3.587519037e-03			
          3.466401881e-01	         -1.200632624e-03			
          3.476167506e-01	         -3.005176268e-03			
          3.485933131e-01	         -3.458109533e-03			
          3.495698756e-01	         -2.660084256e-03			
          3.505464381e-01	         -2.358128746e-03			
          3.515230006e-01	         -1.948331982e-03			
          3.524995631e-01	          4.529332653e-04			
          3.534761256e-01	          1.200632624e-03			
          3.544526881e-01	         -1.437883382e-05			
